Date,Close
5/17/16,14.34
5/18/16,14.14
5/19/16,14.15
5/20/16,14.43
5/23/16,14.41
5/24/16,14.03
5/25/16,14.41
5/26/16,14.3
5/27/16,15.1
5/31/16,15.22
6/1/16,15.02
6/2/16,15.2
6/3/16,15.2
6/6/16,15.27
6/7/16,15
6/8/16,14.95
6/9/16,14.6
6/10/16,14.02
6/13/16,14.55
6/14/16,15.36
6/15/16,15.96
6/16/16,15.87
6/17/16,16.1
6/20/16,16.34
6/21/16,16.32
6/22/16,16.13
6/23/16,17.04
6/24/16,16.44
6/27/16,15.84
6/28/16,16.42
6/29/16,16.83
6/30/16,16.91
7/1/16,17.28
7/5/16,17.14
7/6/16,17.2
7/7/16,17.37
7/8/16,18.08
7/11/16,17.71
7/12/16,18.1
7/13/16,17.74
7/14/16,17.96
7/15/16,18.08
7/18/16,18.65
7/19/16,18.33
7/20/16,18.56
7/21/16,18.39
7/22/16,18.37
7/25/16,18.65
7/26/16,18.45
7/27/16,15.77
7/28/16,16.31
7/29/16,16.64
8/1/16,16.64
8/2/16,16.42
8/3/16,17.61
8/4/16,18.13
8/5/16,18.26
8/8/16,18.2
8/9/16,18.68
8/10/16,19.04
8/11/16,19.78
8/12/16,19.54
8/15/16,20.86
8/16/16,20.4
8/17/16,20.17
8/18/16,19
8/19/16,18.98
8/22/16,18.55
8/23/16,18.69
8/24/16,18.25
8/25/16,18.32
8/26/16,18.3
8/29/16,18.47
8/30/16,18.38
8/31/16,19.21
9/1/16,19.5
9/2/16,19.55
9/6/16,19.93
9/7/16,19.87
9/8/16,18.7
9/9/16,18.11
9/12/16,18.15
9/13/16,17.76
9/14/16,18.08
9/15/16,18.3
9/16/16,19.11
9/19/16,18.36
9/20/16,18.39
9/21/16,18.49
9/22/16,18.63
9/23/16,22.62
9/26/16,23.37
9/27/16,23.72
9/28/16,22.96
9/29/16,23.01
9/30/16,23.05
10/3/16,24
10/4/16,23.52
10/5/16,24.87
10/6/16,19.87
10/7/16,19.85
10/10/16,17.56
10/11/16,18
10/12/16,18.05
10/13/16,17.79
10/14/16,16.88
10/17/16,16.73
10/18/16,16.83
10/19/16,17.07
10/20/16,16.9
10/21/16,18.09
10/24/16,18.03
10/25/16,17.26
10/26/16,17.29
10/27/16,17.4
10/28/16,17.66
10/31/16,17.95
11/1/16,17.49
11/2/16,17.61
11/3/16,17.58
11/4/16,18.02
11/7/16,18.41
11/8/16,18.38
11/9/16,19.13
11/10/16,18.37
11/11/16,18.55
11/14/16,19.14
11/15/16,18.98
11/16/16,18.63
11/17/16,18.55
11/18/16,18.73
11/21/16,18.6
11/22/16,18.63
11/23/16,18.22
11/25/16,18.06
11/28/16,18.3
11/29/16,18.19
11/30/16,18.49
12/1/16,18.03
12/2/16,17.93
12/5/16,18.23
12/6/16,18.23
12/7/16,19.48
12/8/16,19.64
12/9/16,19.65
12/12/16,18.93
12/13/16,19.37
12/14/16,18.93
12/15/16,18.79
12/16/16,18.63
12/19/16,18.24
12/20/16,17.92
12/21/16,17.08
12/22/16,16.41
12/23/16,16.5
12/27/16,16.61
12/28/16,16.39
12/29/16,16.39
12/30/16,16.3
1/3/17,16.44
1/4/17,16.86
1/5/17,17.09
1/6/17,17.17
1/9/17,17.5
1/10/17,17.37
1/11/17,17.3
1/12/17,17.38
1/13/17,17.25
1/17/17,16.96
1/18/17,17.11
1/19/17,16.79
1/20/17,16.58
1/23/17,16.61
